Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
13:48:55,28.100000,27.700001,65.000000,66.000000,27.000000,34.250000
13:48:59,28.100000,27.799999,65.000000,66.099998,26.687500,34.625000
13:49:02,28.100000,27.799999,65.000000,66.199997,26.687500,35.062500
13:49:06,28.100000,27.799999,65.099998,66.400002,26.500000,35.625000
13:49:10,28.100000,27.799999,65.300003,66.500000,26.375000,36.000000
13:49:13,28.100000,27.799999,65.500000,66.699997,26.250000,36.250000
13:49:17,28.100000,27.799999,65.699997,66.900002,26.125000,36.500000
13:49:21,28.100000,27.799999,65.900002,67.000000,26.062500,36.687500
13:49:25,28.100000,27.700001,66.000000,67.099998,25.812500,36.875000
13:49:28,28.100000,27.799999,66.099998,67.199997,25.125000,37.062500
13:49:32,28.100000,27.799999,66.099998,67.300003,25.625000,37.187500
13:49:36,28.100000,27.799999,66.099998,67.199997,25.437500,37.312500
13:49:40,28.100000,27.799999,66.099998,67.199997,25.375000,37.500000
13:49:43,28.100000,27.799999,66.099998,67.099998,25.312500,37.625000
13:49:47,28.100000,27.799999,66.000000,67.000000,25.062500,37.750000
13:49:51,28.100000,27.799999,66.000000,67.000000,25.000000,37.875000
13:49:55,28.100000,27.799999,66.000000,66.900002,24.937500,37.937500
13:49:58,28.100000,27.799999,66.000000,66.900002,24.812500,38.062500
13:50:02,28.000000,27.799999,66.000000,67.000000,24.125000,38.125000
13:50:06,28.000000,27.799999,66.099998,67.000000,24.687500,38.187500
13:50:09,28.000000,27.799999,66.099998,67.000000,24.000000,38.312500
13:50:13,28.000000,27.799999,66.099998,66.900002,24.500000,38.312500
13:50:17,28.000000,27.799999,66.099998,66.900002,24.375000,38.375000
13:50:21,28.000000,27.799999,66.099998,66.800003,24.437500,38.437500
13:50:24,28.000000,27.799999,66.000000,66.699997,24.312500,38.500000
13:50:28,28.000000,27.799999,66.000000,66.699997,23.562500,38.562500
13:50:32,27.900000,27.799999,65.900002,66.599998,23.500000,38.625000
13:50:36,27.900000,27.799999,65.900002,66.500000,23.375000,38.625000
13:50:39,27.900000,27.799999,65.900002,66.500000,24.062500,38.687500
13:50:43,27.900000,27.799999,65.900002,66.400002,23.250000,38.750000
13:50:47,27.799999,27.799999,65.800003,66.400002,23.875000,38.750000
13:50:50,27.799999,27.799999,65.900002,66.300003,23.187500,38.812500
13:50:54,27.799999,27.700001,65.900002,66.199997,23.812500,38.812500
13:50:58,27.799999,27.700001,65.900002,66.099998,23.062500,38.875000
13:51:02,27.799999,27.799999,65.900002,66.199997,23.625000,38.875000
13:51:05,27.799999,27.799999,65.900002,66.099998,23.625000,38.937500
13:51:09,27.700001,27.799999,65.800003,66.099998,23.500000,38.937500
13:51:13,27.700001,27.700001,65.900002,66.000000,23.375000,38.937500
13:51:17,27.700001,27.700001,65.900002,66.000000,23.437500,39.000000
13:51:20,27.700001,27.700001,65.900002,66.000000,22.687500,39.000000
13:51:24,27.600000,27.700001,65.900002,65.900002,22.812500,39.000000
13:51:28,27.600000,27.700001,65.900002,65.900002,23.250000,39.000000
13:51:32,27.600000,27.700001,66.000000,65.900002,22.812500,39.000000
13:51:35,27.600000,27.700001,66.000000,65.800003,23.125000,39.062500
13:51:39,27.500000,27.700001,65.900002,65.800003,22.562500,39.062500
13:51:46,27.500000,27.700001,66.000000,65.699997,23.125000,39.125000
13:51:50,27.500000,27.700001,66.000000,65.699997,23.062500,39.125000
13:51:54,27.500000,27.700001,66.199997,65.800003,23.000000,39.187500
13:51:58,27.400000,27.700001,66.199997,65.800003,23.000000,39.187500
13:52:01,27.500000,27.700001,66.400002,65.900002,22.437500,39.187500
13:52:05,27.400000,27.700001,66.400002,66.000000,23.000000,39.187500
13:52:09,27.400000,27.700001,66.500000,66.000000,22.937500,39.187500
13:52:13,27.299999,27.700001,66.500000,66.000000,23.000000,39.187500
13:52:16,27.299999,27.600000,66.599998,66.000000,22.937500,39.187500
13:52:20,27.299999,27.700001,66.699997,66.099998,22.812500,39.187500
13:52:24,27.299999,27.700001,66.800003,66.099998,22.187500,39.187500
13:52:28,27.299999,27.600000,66.800003,66.099998,22.750000,39.250000
13:52:31,27.299999,27.600000,66.900002,66.099998,22.812500,39.250000
13:52:35,27.200001,27.600000,66.900002,66.099998,22.812500,39.250000
13:52:39,27.200001,27.600000,67.000000,66.099998,22.750000,39.250000
13:52:46,27.200001,27.600000,67.099998,66.199997,22.625000,39.250000
13:52:50,27.100000,27.600000,67.199997,66.199997,22.687500,39.250000
13:52:54,27.100000,27.600000,67.199997,66.300003,22.500000,39.250000
13:52:57,27.100000,27.600000,67.300003,66.300003,22.687500,39.187500
13:53:01,27.100000,27.600000,67.300003,66.300003,22.562500,39.187500
13:53:05,27.100000,27.600000,67.400002,66.300003,22.625000,39.187500
13:53:09,27.000000,27.600000,67.400002,66.300003,22.625000,39.250000
13:53:12,27.000000,27.600000,67.400002,66.300003,22.500000,39.250000
13:53:16,27.000000,27.600000,67.500000,66.300003,22.562500,39.250000
13:53:20,27.000000,27.600000,67.500000,66.300003,22.500000,39.250000
13:53:24,26.900000,27.500000,67.500000,66.199997,22.437500,39.250000
13:53:27,26.900000,27.600000,67.599998,66.300003,22.500000,39.250000
13:53:31,27.000000,27.500000,67.699997,66.199997,22.437500,39.250000
13:53:35,26.900000,27.500000,67.699997,66.300003,22.437500,39.250000
13:53:38,26.900000,27.500000,67.699997,66.300003,22.437500,39.250000
13:53:42,26.900000,27.500000,67.800003,66.300003,22.312500,39.250000
13:53:46,26.900000,27.500000,67.800003,66.300003,22.375000,39.250000
13:53:50,26.799999,27.500000,67.800003,66.300003,22.312500,39.250000
13:53:53,26.799999,27.500000,67.900002,66.300003,22.312500,39.250000
13:53:57,26.799999,27.500000,68.000000,66.400002,21.812500,39.250000
13:54:01,26.799999,27.500000,68.000000,66.400002,22.375000,39.250000
13:54:05,26.799999,27.500000,68.099998,66.400002,22.187500,39.187500
13:54:08,26.700001,27.500000,68.099998,66.400002,21.687500,39.250000
13:54:12,26.700001,27.500000,68.199997,66.500000,22.375000,39.250000
13:54:16,26.700001,27.400000,68.199997,66.400002,22.250000,39.250000
13:54:19,26.700001,27.400000,68.300003,66.400002,22.250000,39.250000
13:54:23,26.600000,27.400000,68.300003,66.500000,22.187500,39.250000
13:54:27,26.600000,27.400000,68.300003,66.500000,21.687500,39.250000
13:54:31,26.600000,27.400000,68.400002,66.500000,22.250000,39.187500
13:54:34,26.600000,27.400000,68.400002,66.500000,22.312500,39.250000
13:54:38,26.600000,27.400000,68.500000,66.500000,22.125000,39.187500
13:54:42,26.600000,27.400000,68.500000,66.599998,22.187500,39.250000
13:54:46,26.600000,27.400000,68.599998,66.599998,22.000000,39.250000
13:54:49,26.500000,27.400000,68.599998,66.599998,21.500000,39.250000
13:54:53,26.500000,27.400000,68.699997,66.599998,22.062500,39.250000
13:54:57,26.500000,27.400000,68.699997,66.599998,22.062500,39.250000
13:55:01,26.500000,27.400000,68.699997,66.599998,22.125000,39.250000
13:55:04,26.500000,27.400000,68.800003,66.599998,22.000000,39.250000
13:55:08,26.400000,27.299999,68.800003,66.599998,22.062500,39.250000
13:55:12,26.500000,27.299999,68.900002,66.599998,22.062500,39.250000
13:55:15,26.400000,27.400000,68.900002,66.699997,21.500000,39.250000
13:55:19,26.400000,27.299999,69.000000,66.699997,22.000000,39.250000
13:55:23,26.400000,27.299999,69.000000,66.699997,22.000000,39.250000
13:55:27,26.299999,27.400000,68.900002,66.800003,21.375000,39.250000
13:55:30,26.299999,27.299999,69.000000,66.800003,22.000000,39.250000
13:55:34,26.400000,27.299999,69.199997,66.800003,22.062500,39.250000
13:55:38,26.299999,27.299999,69.199997,66.800003,22.062500,39.250000
13:55:42,26.299999,27.299999,69.199997,66.800003,22.000000,39.250000
13:55:45,26.299999,27.299999,69.199997,66.900002,21.375000,39.250000
13:55:49,26.299999,27.299999,69.300003,66.900002,21.437500,39.250000
13:55:53,26.299999,27.299999,69.300003,66.900002,21.937500,39.250000
13:55:57,26.299999,27.299999,69.400002,66.900002,21.875000,39.250000
13:56:00,26.299999,27.299999,69.500000,67.000000,21.875000,39.250000
13:56:04,26.200001,27.299999,69.400002,67.000000,21.875000,39.250000
13:56:08,26.200001,27.200001,69.500000,66.900002,21.875000,39.250000
13:56:11,26.200001,27.200001,69.599998,66.900002,21.937500,39.250000
13:56:15,26.200001,27.200001,69.599998,67.000000,21.812500,39.250000
13:56:19,26.200001,27.200001,69.699997,67.000000,21.875000,39.250000
13:56:23,26.100000,27.200001,69.599998,67.000000,21.875000,39.250000
13:56:26,26.200001,27.200001,69.699997,67.000000,21.875000,39.250000
13:56:30,26.100000,27.200001,69.699997,67.099998,21.875000,39.250000
13:56:34,26.200001,27.200001,69.900002,67.099998,21.812500,39.250000
13:56:38,26.100000,27.200001,69.800003,67.199997,21.812500,39.250000
13:56:41,26.100000,27.200001,69.900002,67.199997,21.875000,39.250000
13:56:45,26.100000,27.200001,70.000000,67.199997,21.875000,39.250000
13:56:49,26.100000,27.200001,70.000000,67.300003,21.812500,39.250000
